Latitude (decimal degrees):	48.871
Longitude (decimal degrees):	0.300
Elevation (m):	240
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220104:0010,0.0,0.0,0.0,10.0,4.07,0.0
20220104:0110,0.0,0.0,0.0,9.93,3.45,0.0
20220104:0210,0.0,0.0,0.0,9.55,2.41,0.0
20220104:0310,0.0,0.0,0.0,9.0,2.21,0.0
20220104:0410,0.0,0.0,0.0,8.25,2.34,0.0
20220104:0510,0.0,0.0,0.0,7.8,1.93,0.0
20220104:0610,0.0,0.0,0.0,7.57,1.66,0.0
20220104:0710,0.0,0.0,0.0,6.53,1.1,0.0
20220104:0810,0.0,5.43,1.65,6.5,2.14,0.0
20220104:0910,72.04,98.93,8.71,6.68,2.76,0.0
20220104:1010,241.92,286.93,14.11,7.32,3.86,0.0
20220104:1110,479.63,557.38,17.44,7.97,4.14,0.0
20220104:1210,118.35,151.35,18.38,8.1,4.97,0.0
20220104:1310,22.95,40.68,16.84,8.19,4.83,0.0
20220104:1410,34.27,54.87,12.97,8.11,4.9,0.0
20220104:1510,15.82,31.22,7.13,7.69,4.97,0.0
20220104:1610,0.0,0.0,0.0,7.0,5.38,0.0
20220104:1710,0.0,0.0,0.0,6.14,5.31,0.0
20220104:1810,0.0,0.0,0.0,4.88,5.38,0.0
20220104:1910,0.0,0.0,0.0,3.69,5.31,0.0
20220104:2010,0.0,0.0,0.0,3.28,5.1,0.0
20220104:2110,0.0,0.0,0.0,3.0,4.62,0.0
20220104:2210,0.0,0.0,0.0,2.69,4.14,0.0
20220104:2310,0.0,0.0,0.0,2.44,3.79,0.0
20220105:0010,0.0,0.0,0.0,2.17,3.66,0.0
20220105:0110,0.0,0.0,0.0,1.89,3.59,0.0
20220105:0210,0.0,0.0,0.0,1.68,3.52,0.0
20220105:0310,0.0,0.0,0.0,1.45,3.45,0.0
20220105:0410,0.0,0.0,0.0,1.32,3.45,0.0
20220105:0510,0.0,0.0,0.0,1.42,3.38,0.0
20220105:0610,0.0,0.0,0.0,1.35,3.17,0.0
20220105:0710,0.0,0.0,0.0,1.55,3.17,0.0
20220105:0810,0.0,0.91,1.69,1.36,3.03,0.0
20220105:0910,256.79,300.19,8.76,1.79,3.1,0.0
20220105:1010,142.88,174.96,14.18,2.98,2.83,0.0
20220105:1110,105.99,135.57,17.53,3.97,3.38,0.0
20220105:1210,61.45,86.08,18.49,4.68,4.62,0.0
20220105:1310,111.29,141.82,16.97,5.14,4.34,0.0
20220105:1410,51.87,75.09,13.11,5.09,3.93,0.0
20220105:1510,48.83,71.66,7.27,4.85,3.45,0.0
20220105:1610,0.0,0.0,0.0,3.96,2.83,0.0
20220105:1710,0.0,0.0,0.0,2.92,2.55,0.0
20220105:1810,0.0,0.0,0.0,2.17,2.41,0.0
20220105:1910,0.0,0.0,0.0,1.78,2.21,0.0
20220105:2010,0.0,0.0,0.0,1.34,2.34,0.0
20220105:2110,0.0,0.0,0.0,1.1,2.28,0.0
20220105:2210,0.0,0.0,0.0,0.95,2.21,0.0
20220105:2310,0.0,0.0,0.0,0.81,2.14,0.0
20220106:0010,0.0,0.0,0.0,0.92,1.93,0.0
20220106:0110,0.0,0.0,0.0,0.98,1.66,0.0
20220106:0210,0.0,0.0,0.0,0.6,1.79,0.0
20220106:0310,0.0,0.0,0.0,0.19,1.72,0.0
20220106:0410,0.0,0.0,0.0,-0.43,1.66,0.0
20220106:0510,0.0,0.0,0.0,-1.09,1.66,0.0
20220106:0610,0.0,0.0,0.0,-1.63,1.72,0.0
20220106:0710,0.0,0.0,0.0,-0.71,1.59,0.0
20220106:0810,0.0,0.91,1.73,-0.76,1.72,0.0
20220106:0910,21.55,37.84,8.82,0.65,1.52,0.0
20220106:1010,43.9,65.27,14.26,2.57,1.45,0.0
20220106:1110,140.25,173.3,17.63,3.76,1.86,0.0
20220106:1210,436.89,504.11,18.61,4.56,2.69,0.0
20220106:1310,94.45,123.23,17.1,4.81,3.66,0.0
20220106:1410,105.03,134.5,13.25,4.74,4.0,0.0
20220106:1510,43.86,65.66,7.42,4.41,3.38,0.0
20220106:1610,0.0,0.0,0.0,3.95,3.31,0.0
20220106:1710,0.0,0.0,0.0,3.41,3.59,0.0
20220106:1810,0.0,0.0,0.0,3.22,4.14,0.0
20220106:1910,0.0,0.0,0.0,3.4,4.62,0.0
20220106:2010,0.0,0.0,0.0,3.24,4.9,0.0
20220106:2110,0.0,0.0,0.0,3.05,5.17,0.0
20220106:2210,0.0,0.0,0.0,2.66,5.38,0.0
20220106:2310,0.0,0.0,0.0,2.51,5.45,0.0
20220107:0010,0.0,0.0,0.0,2.89,5.24,0.0
20220107:0110,0.0,0.0,0.0,3.48,4.9,0.0
20220107:0210,0.0,0.0,0.0,3.77,4.41,0.0
20220107:0310,0.0,0.0,0.0,3.7,3.86,0.0
20220107:0410,0.0,0.0,0.0,3.71,3.66,0.0
20220107:0510,0.0,0.0,0.0,3.88,3.93,0.0
20220107:0610,0.0,0.0,0.0,3.65,4.21,0.0
20220107:0710,0.0,0.0,0.0,3.9,3.79,0.0
20220107:0810,0.3,6.34,1.78,3.4,3.86,0.0
20220107:0910,315.03,366.84,8.88,3.8,4.34,0.0
20220107:1010,280.26,324.72,14.34,4.46,4.69,0.0
20220107:1110,166.07,201.33,17.74,5.18,4.97,0.0
20220107:1210,115.12,146.27,18.74,5.72,5.93,0.0
20220107:1310,514.79,590.5,17.24,6.2,5.24,0.0
20220107:1410,77.36,104.43,13.4,6.36,5.52,0.0
20220107:1510,61.83,86.94,7.58,5.83,6.07,0.0
20220107:1610,0.0,0.0,0.0,4.71,7.03,0.0
20220107:1710,0.0,0.0,0.0,4.6,7.66,0.0
20220107:1810,0.0,0.0,0.0,5.09,7.17,0.0
20220107:1910,0.0,0.0,0.0,5.84,6.62,0.0
20220107:2010,0.0,0.0,0.0,6.19,7.79,0.0
20220107:2110,0.0,0.0,0.0,5.75,6.48,0.0
20220107:2210,0.0,0.0,0.0,5.51,5.59,0.0
20220107:2310,0.0,0.0,0.0,4.87,4.55,0.0
20220108:0010,0.0,0.0,0.0,4.47,3.86,0.0
20220108:0110,0.0,0.0,0.0,3.79,3.31,0.0
20220108:0210,0.0,0.0,0.0,3.21,2.62,0.0
20220108:0310,0.0,0.0,0.0,3.34,2.21,0.0
20220108:0410,0.0,0.0,0.0,3.71,2.55,0.0
20220108:0510,0.0,0.0,0.0,4.45,3.1,0.0
20220108:0610,0.0,0.0,0.0,5.72,4.07,0.0
20220108:0710,0.0,0.0,0.0,5.68,3.93,0.0
20220108:0810,0.29,6.34,1.83,6.11,4.14,0.0
20220108:0910,20.98,37.84,8.96,6.16,4.76,0.0
20220108:1010,214.69,254.99,14.44,6.36,5.38,0.0
20220108:1110,99.35,129.49,17.85,6.99,6.0,0.0
20220108:1210,42.23,64.33,18.87,7.43,6.48,0.0
20220108:1310,40.66,62.43,17.39,7.44,6.9,0.0
20220108:1410,19.4,35.95,13.56,7.5,7.1,0.0
20220108:1510,39.87,61.55,7.74,7.6,7.24,0.0
20220108:1610,0.0,0.0,0.0,7.74,6.9,0.0
20220108:1710,0.0,0.0,0.0,7.77,7.93,0.0
20220108:1810,0.0,0.0,0.0,7.02,7.66,0.0
20220108:1910,0.0,0.0,0.0,6.28,6.48,0.0
20220108:2010,0.0,0.0,0.0,5.48,7.45,0.0
20220108:2110,0.0,0.0,0.0,5.13,7.72,0.0
20220108:2210,0.0,0.0,0.0,4.97,7.45,0.0
20220108:2310,0.0,0.0,0.0,4.89,7.03,0.0
20220109:0010,0.0,0.0,0.0,4.59,6.62,0.0
20220109:0110,0.0,0.0,0.0,4.63,6.34,0.0
20220109:0210,0.0,0.0,0.0,4.64,5.72,0.0
20220109:0310,0.0,0.0,0.0,4.28,5.24,0.0
20220109:0410,0.0,0.0,0.0,3.91,5.38,0.0
20220109:0510,0.0,0.0,0.0,3.6,4.97,0.0
20220109:0610,0.0,0.0,0.0,3.91,4.76,0.0
20220109:0710,0.0,0.0,0.0,4.19,4.34,0.0
20220109:0810,0.0,3.62,1.89,4.05,4.14,0.0
20220109:0910,81.22,108.3,9.03,4.5,4.07,0.0
20220109:1010,118.88,150.12,14.54,5.19,3.59,0.0
20220109:1110,111.55,142.79,17.97,5.84,3.38,0.0
20220109:1210,55.22,79.46,19.01,6.33,3.79,0.0
20220109:1310,384.99,445.94,17.54,6.47,3.72,0.0
20220109:1410,213.68,254.41,13.72,6.33,4.48,0.0
20220109:1510,239.35,286.66,7.9,5.89,4.07,0.0
20220109:1610,0.0,0.0,0.0,5.38,3.03,0.0
20220109:1710,0.0,0.0,0.0,5.11,2.55,0.0
20220109:1810,0.0,0.0,0.0,4.89,2.34,0.0
20220109:1910,0.0,0.0,0.0,5.28,2.41,0.0
20220109:2010,0.0,0.0,0.0,5.06,2.21,0.0
20220109:2110,0.0,0.0,0.0,5.04,2.21,0.0
20220109:2210,0.0,0.0,0.0,5.14,2.14,0.0
20220109:2310,0.0,0.0,0.0,5.19,2.07,0.0
20220110:0010,0.0,0.0,0.0,5.27,1.79,0.0
20220110:0110,0.0,0.0,0.0,5.34,1.72,0.0
20220110:0210,0.0,0.0,0.0,5.17,1.66,0.0
20220110:0310,0.0,0.0,0.0,5.22,1.59,0.0
20220110:0410,0.0,0.0,0.0,5.14,1.38,0.0
20220110:0510,0.0,0.0,0.0,5.11,1.31,0.0
20220110:0610,0.0,0.0,0.0,5.09,1.17,0.0
20220110:0710,0.0,0.0,0.0,4.57,1.66,0.0
20220110:0810,0.0,2.72,1.96,4.5,1.31,0.0
20220110:0910,59.53,84.01,9.12,4.56,0.76,0.0
20220110:1010,38.47,59.6,14.64,5.57,0.41,0.0
20220110:1110,108.03,139.72,18.1,6.12,0.76,0.0
20220110:1210,36.0,56.76,19.15,6.51,1.31,0.0
20220110:1310,46.1,69.06,17.7,7.04,1.45,0.0
20220110:1410,47.03,70.18,13.89,7.43,1.72,0.0
20220110:1510,23.17,40.89,8.07,7.39,1.66,0.0
20220110:1610,0.0,0.0,0.0,6.99,1.79,0.0
20220110:1710,0.0,0.0,0.0,6.44,2.0,0.0
20220110:1810,0.0,0.0,0.0,6.15,2.34,0.0
20220110:1910,0.0,0.0,0.0,5.91,2.48,0.0
20220110:2010,0.0,0.0,0.0,5.7,2.76,0.0
20220110:2110,0.0,0.0,0.0,5.43,2.55,0.0
20220110:2210,0.0,0.0,0.0,4.94,2.69,0.0
20220110:2310,0.0,0.0,0.0,4.8,2.76,0.0
20220111:0010,0.0,0.0,0.0,4.59,2.62,0.0
20220111:0110,0.0,0.0,0.0,4.34,2.55,0.0
20220111:0210,0.0,0.0,0.0,4.11,2.55,0.0
20220111:0310,0.0,0.0,0.0,3.96,2.55,0.0
20220111:0410,0.0,0.0,0.0,3.85,2.55,0.0
20220111:0510,0.0,0.0,0.0,3.78,2.48,0.0
20220111:0610,0.0,0.0,0.0,3.6,2.41,0.0
20220111:0710,0.0,0.0,0.0,3.93,2.21,0.0
20220111:0810,0.0,4.53,2.04,3.89,2.28,0.0
20220111:0910,69.98,95.56,9.21,3.92,2.28,0.0
20220111:1010,290.06,337.93,14.76,4.05,2.21,0.0
20220111:1110,275.39,321.53,18.23,4.15,2.21,0.0
20220111:1210,537.07,625.29,19.31,4.35,2.0,0.0
20220111:1310,529.42,618.08,17.87,4.55,1.79,0.0
20220111:1410,196.15,235.55,14.06,4.9,1.66,0.0
20220111:1510,166.86,205.81,8.25,5.14,1.45,0.0
20220111:1610,0.0,0.0,0.0,5.15,1.24,0.0
20220111:1710,0.0,0.0,0.0,4.94,1.1,0.0
20220111:1810,0.0,0.0,0.0,4.66,1.1,0.0
20220111:1910,0.0,0.0,0.0,3.67,1.38,0.0
20220111:2010,0.0,0.0,0.0,3.1,1.38,0.0
20220111:2110,0.0,0.0,0.0,2.76,1.31,0.0
20220111:2210,0.0,0.0,0.0,2.63,1.24,0.0
20220111:2310,0.0,0.0,0.0,2.28,1.1,0.0
20220112:0010,0.0,0.0,0.0,2.36,0.76,0.0
20220112:0110,0.0,0.0,0.0,2.81,0.62,0.0
20220112:0210,0.0,0.0,0.0,3.21,0.41,0.0
20220112:0310,0.0,0.0,0.0,3.5,0.14,0.0
20220112:0410,0.0,0.0,0.0,3.64,0.21,0.0
20220112:0510,0.0,0.0,0.0,4.03,0.14,0.0
20220112:0610,0.0,0.0,0.0,4.17,0.41,0.0
20220112:0710,0.0,0.0,0.0,2.97,0.76,0.0
20220112:0810,0.0,3.62,2.12,3.46,0.14,0.0
20220112:0910,84.72,112.68,9.31,4.15,0.41,0.0
20220112:1010,82.96,110.75,14.88,4.86,0.76,0.0
20220112:1110,91.35,120.68,18.38,5.52,0.97,0.0
20220112:1210,131.81,166.17,19.47,6.12,1.17,0.0
20220112:1310,45.45,68.11,18.04,6.36,1.31,0.0
20220112:1410,58.68,83.59,14.24,6.52,1.59,0.0
20220112:1510,28.46,47.44,8.43,6.49,1.52,0.0
20220112:1610,0.0,0.0,0.0,6.26,1.24,0.0
20220112:1710,0.0,0.0,0.0,5.99,1.45,0.0
20220112:1810,0.0,0.0,0.0,5.84,1.79,0.0
20220112:1910,0.0,0.0,0.0,5.45,1.79,0.0
20220112:2010,0.0,0.0,0.0,5.45,2.21,0.0
20220112:2110,0.0,0.0,0.0,5.41,2.28,0.0
20220112:2210,0.0,0.0,0.0,5.17,2.28,0.0
20220112:2310,0.0,0.0,0.0,4.85,2.69,0.0
20220113:0010,0.0,0.0,0.0,4.49,2.48,0.0
20220113:0110,0.0,0.0,0.0,4.26,2.28,0.0
20220113:0210,0.0,0.0,0.0,3.96,2.34,0.0
20220113:0310,0.0,0.0,0.0,3.62,2.28,0.0
20220113:0410,0.0,0.0,0.0,3.32,2.34,0.0
20220113:0510,0.0,0.0,0.0,2.99,2.34,0.0
20220113:0610,0.0,0.0,0.0,2.76,2.41,0.0
20220113:0710,0.0,0.0,0.0,2.38,2.21,0.0
20220113:0810,0.69,7.24,2.21,2.07,2.14,0.0
20220113:0910,90.68,118.03,9.42,2.14,2.21,0.0
20220113:1010,128.85,159.8,15.01,2.64,2.21,0.0
20220113:1110,194.08,231.38,18.53,3.29,2.28,0.0
20220113:1210,569.03,662.68,19.64,4.13,2.14,0.0
20220113:1310,558.74,652.14,18.22,4.85,2.21,0.0
20220113:1410,432.84,503.65,14.43,5.26,2.28,0.0
20220113:1510,243.33,291.35,8.62,5.12,2.21,0.0
20220113:1610,0.0,0.0,0.0,4.4,2.07,0.0
20220113:1710,0.0,0.0,0.0,3.33,2.28,0.0
20220113:1810,0.0,0.0,0.0,2.58,2.28,0.0
20220113:1910,0.0,0.0,0.0,2.54,2.55,0.0
20220113:2010,0.0,0.0,0.0,2.4,2.69,0.0
20220113:2110,0.0,0.0,0.0,2.24,2.76,0.0
20220113:2210,0.0,0.0,0.0,2.16,2.69,0.0
20220113:2310,0.0,0.0,0.0,1.98,2.55,0.0
20220114:0010,0.0,0.0,0.0,1.77,2.48,0.0
20220114:0110,0.0,0.0,0.0,1.57,2.34,0.0
20220114:0210,0.0,0.0,0.0,1.36,2.34,0.0
20220114:0310,0.0,0.0,0.0,1.19,2.41,0.0
20220114:0410,0.0,0.0,0.0,1.02,2.41,0.0
20220114:0510,0.0,0.0,0.0,0.85,2.41,0.0
20220114:0610,0.0,0.0,0.0,0.72,2.41,0.0
20220114:0710,0.0,0.0,0.0,0.78,2.41,0.0
20220114:0810,1.57,9.05,2.3,0.54,2.34,0.0
20220114:0910,312.59,362.76,9.54,1.12,2.21,0.0
20220114:1010,476.73,548.89,15.14,2.83,2.28,0.0
20220114:1110,569.36,662.18,18.68,4.67,2.55,0.0
20220114:1210,605.01,709.24,19.81,5.96,2.69,0.0
20220114:1310,561.17,657.78,18.41,6.65,2.69,0.0
20220114:1410,425.09,496.95,14.62,6.82,2.62,0.0
20220114:1510,254.09,305.23,8.81,6.44,2.21,0.0
20220114:1610,0.0,0.0,0.0,5.25,2.28,0.0
20220114:1710,0.0,0.0,0.0,3.73,2.34,0.0
20220114:1810,0.0,0.0,0.0,2.7,2.34,0.0
20220114:1910,0.0,0.0,0.0,1.8,2.0,0.0
20220114:2010,0.0,0.0,0.0,1.06,1.93,0.0
20220114:2110,0.0,0.0,0.0,0.49,2.0,0.0
20220114:2210,0.0,0.0,0.0,0.04,1.93,0.0
20220114:2310,0.0,0.0,0.0,-0.36,1.79,0.0
20220115:0010,0.0,0.0,0.0,-0.85,1.66,0.0
20220115:0110,0.0,0.0,0.0,-1.42,1.45,0.0
20220115:0210,0.0,0.0,0.0,-1.67,1.38,0.0
20220115:0310,0.0,0.0,0.0,-2.05,1.38,0.0
20220115:0410,0.0,0.0,0.0,-2.42,1.45,0.0
20220115:0510,0.0,0.0,0.0,-2.67,1.45,0.0
20220115:0610,0.0,0.0,0.0,-2.84,1.31,0.0
20220115:0710,0.0,0.0,0.0,-2.34,0.55,0.0
20220115:0810,2.07,9.96,2.4,-1.84,0.76,0.0
20220115:0910,81.56,106.45,9.66,-1.67,1.03,0.0
20220115:1010,153.47,184.2,15.29,-1.14,1.24,0.0
20220115:1110,178.06,211.5,18.85,-0.29,1.31,0.0
20220115:1210,376.35,431.08,19.99,0.7,1.38,0.0
20220115:1310,253.55,295.58,18.6,1.89,1.52,0.0
20220115:1410,87.34,114.5,14.82,2.65,1.72,0.0
20220115:1510,117.49,148.43,9.01,2.7,1.66,0.0
20220115:1610,0.0,0.95,1.62,2.06,1.52,0.0
20220115:1710,0.0,0.0,0.0,1.09,1.66,0.0
20220115:1810,0.0,0.0,0.0,0.75,1.24,0.0
20220115:1910,0.0,0.0,0.0,0.4,1.1,0.0
20220115:2010,0.0,0.0,0.0,0.31,1.03,0.0
20220115:2110,0.0,0.0,0.0,0.59,1.24,0.0
20220115:2210,0.0,0.0,0.0,0.63,1.59,0.0
20220115:2310,0.0,0.0,0.0,0.92,1.72,0.0
20220116:0010,0.0,0.0,0.0,1.2,1.79,0.0
20220116:0110,0.0,0.0,0.0,1.13,1.93,0.0
20220116:0210,0.0,0.0,0.0,1.29,2.07,0.0
20220116:0310,0.0,0.0,0.0,1.44,2.07,0.0
20220116:0410,0.0,0.0,0.0,1.22,2.34,0.0
20220116:0510,0.0,0.0,0.0,1.1,2.55,0.0
20220116:0610,0.0,0.0,0.0,1.07,2.83,0.0
20220116:0710,0.0,0.0,0.0,1.15,3.17,0.0
20220116:0810,2.51,10.86,2.51,1.64,3.17,0.0
20220116:0910,162.71,196.93,9.79,2.16,3.17,0.0
20220116:1010,23.58,40.68,15.43,2.82,3.59,0.0
20220116:1110,113.65,143.8,19.02,3.75,4.34,0.0
20220116:1210,58.96,83.25,20.18,4.85,5.24,0.0
20220116:1310,34.73,54.87,18.8,5.42,4.83,0.0
20220116:1410,7.28,18.92,15.02,5.98,4.62,0.0
20220116:1510,114.52,146.6,9.22,6.01,3.52,0.0
20220116:1610,0.0,0.95,1.82,5.91,3.17,0.0
20220116:1710,0.0,0.0,0.0,5.18,2.9,0.0
20220116:1810,0.0,0.0,0.0,5.38,2.62,0.0
20220116:1910,0.0,0.0,0.0,4.78,2.34,0.0
20220116:2010,0.0,0.0,0.0,4.71,2.14,0.0
20220116:2110,0.0,0.0,0.0,4.97,1.93,0.0
20220116:2210,0.0,0.0,0.0,4.97,1.93,0.0
20220116:2310,0.0,0.0,0.0,4.81,2.0,0.0
20220117:0010,0.0,0.0,0.0,5.0,1.79,0.0
20220117:0110,0.0,0.0,0.0,5.04,1.59,0.0
20220117:0210,0.0,0.0,0.0,4.83,1.59,0.0
20220117:0310,0.0,0.0,0.0,4.61,1.66,0.0
20220117:0410,0.0,0.0,0.0,4.43,1.66,0.0
20220117:0510,0.0,0.0,0.0,4.52,1.45,0.0
20220117:0610,0.0,0.0,0.0,4.56,1.31,0.0
20220117:0710,0.0,0.0,0.0,5.04,1.17,0.0
20220117:0810,2.44,10.86,2.63,5.06,1.1,0.0
20220117:0910,50.64,73.92,9.92,5.39,0.97,0.0
20220117:1010,72.51,99.41,15.59,5.84,0.83,0.0
20220117:1110,36.8,57.7,19.19,6.2,0.69,0.0
20220117:1210,229.14,275.7,20.37,6.9,0.97,0.0
20220117:1310,85.7,115.02,19.0,7.15,1.66,0.0
20220117:1410,140.04,175.57,15.23,7.22,1.59,0.0
20220117:1510,175.6,216.95,9.42,7.04,1.38,0.0
20220117:1610,0.0,1.89,2.03,6.28,1.52,0.0
20220117:1710,0.0,0.0,0.0,5.14,1.72,0.0
20220117:1810,0.0,0.0,0.0,4.19,1.72,0.0
20220117:1910,0.0,0.0,0.0,4.03,1.52,0.0
20220117:2010,0.0,0.0,0.0,3.51,1.52,0.0
20220117:2110,0.0,0.0,0.0,2.68,2.0,0.0
20220117:2210,0.0,0.0,0.0,2.26,1.86,0.0
20220117:2310,0.0,0.0,0.0,1.96,2.0,0.0
20220118:0010,0.0,0.0,0.0,1.86,1.93,0.0
20220118:0110,0.0,0.0,0.0,1.68,2.0,0.0
20220118:0210,0.0,0.0,0.0,1.49,2.07,0.0
20220118:0310,0.0,0.0,0.0,1.17,2.0,0.0
20220118:0410,0.0,0.0,0.0,0.94,2.07,0.0
20220118:0510,0.0,0.0,0.0,1.03,2.14,0.0
20220118:0610,0.0,0.0,0.0,0.66,2.34,0.0
20220118:0710,0.0,0.0,0.0,1.47,2.76,0.0
20220118:0810,2.5,10.86,2.75,1.75,2.9,0.0
20220118:0910,91.03,118.61,10.06,2.8,2.83,0.0
20220118:1010,184.04,220.7,15.75,3.96,2.69,0.0
20220118:1110,535.55,619.36,19.38,4.97,3.1,0.0
20220118:1210,569.84,661.38,20.57,5.62,3.31,0.0
20220118:1310,531.77,619.25,19.21,5.87,2.76,0.0
20220118:1410,405.03,472.32,15.45,6.15,2.48,0.0
20220118:1510,93.51,123.27,9.64,6.07,1.86,0.0
20220118:1610,0.0,3.78,2.24,5.74,1.59,0.0
20220118:1710,0.0,0.0,0.0,5.29,1.86,0.0
20220118:1810,0.0,0.0,0.0,5.02,2.07,0.0
20220118:1910,0.0,0.0,0.0,4.9,1.72,0.0
20220118:2010,0.0,0.0,0.0,4.33,1.72,0.0
20220118:2110,0.0,0.0,0.0,4.28,1.52,0.0
20220118:2210,0.0,0.0,0.0,4.04,1.45,0.0
20220118:2310,0.0,0.0,0.0,3.9,1.38,0.0
20220119:0010,0.0,0.0,0.0,3.75,1.24,0.0
20220119:0110,0.0,0.0,0.0,3.64,0.9,0.0
20220119:0210,0.0,0.0,0.0,3.45,0.55,0.0
20220119:0310,0.0,0.0,0.0,3.31,0.34,0.0
20220119:0410,0.0,0.0,0.0,3.25,1.1,0.0
20220119:0510,0.0,0.0,0.0,3.34,1.52,0.0
20220119:0610,0.0,0.0,0.0,3.44,1.86,0.0
20220119:0710,0.0,0.0,0.0,4.01,2.41,0.0
20220119:0810,1.09,8.15,2.88,3.96,2.62,0.0
